_metric,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,config/batch,config/drop,config/epoch,config/linear,config/lr
1.731183648,0.023993254,FALSE,,,2000,1aca8_00156,2af75c66d52a4988a77d1a285e2e0a7a,2022-04-09_13-58-55,1649527135,67.22623849,8472,DESKTOP-IMPI4GQ,127.0.0.1,67.22623849,0,2000,1024,0.3,2000,60,0.01
1.732016087,0.014995813,FALSE,,,2000,1aca8_00111,4a8bab05124d41f58de2c1cbe1fbea8f,2022-04-09_13-42-47,1649526167,51.9471817,6276,DESKTOP-IMPI4GQ,127.0.0.1,51.9471817,0,2000,2048,0.4,2000,60,0.005
1.733933091,0.020994186,FALSE,,,3000,1aca8_00018,f0f2cfc9db11427cb95530f6d2da724f,2022-04-09_13-10-37,1649524237,93.02103925,13028,DESKTOP-IMPI4GQ,127.0.0.1,93.02103925,0,3000,1024,0.3,3000,60,0.001
1.734313726,0.048985004,FALSE,,,3000,1aca8_00102,7cd7a032f1d1456991ea9089fdf3da20,2022-04-09_13-40-29,1649526029,79.15137506,14016,DESKTOP-IMPI4GQ,127.0.0.1,79.15137506,0,3000,1024,0.3,3000,40,0.005
1.735474586,0.028992653,FALSE,,,2000,1aca8_00063,7564572cbd8249928f943273a366a3a4,2022-04-09_13-25-50,1649525150,51.13314843,15188,DESKTOP-IMPI4GQ,127.0.0.1,51.13314843,0,2000,2048,0.4,2000,60,0.002
1.737092495,0.009997129,FALSE,,,2000,1aca8_00003,92290ab70790461bbb9f6ebde1436b2a,2022-04-09_13-05-18,1649523918,51.07051992,12516,DESKTOP-IMPI4GQ,127.0.0.1,51.07051992,0,2000,2048,0.4,2000,40,0.001
1.737663388,0.022993326,FALSE,,,2000,1aca8_00110,ee51f00c950a490f83d9fbd904d6167c,2022-04-09_13-42-54,1649526174,59.49174023,10036,DESKTOP-IMPI4GQ,127.0.0.1,59.49174023,0,2000,1024,0.4,2000,60,0.005
1.737857461,0.021992922,FALSE,,,2000,1aca8_00160,0da6ec7a7cb04d8b8cbd504b14c9ca75,2022-04-09_14-00-01,1649527201,59.02388716,12420,DESKTOP-IMPI4GQ,127.0.0.1,59.02388716,0,2000,1024,0.5,2000,60,0.01
1.73785758,0.01899457,FALSE,,,3000,1aca8_00190,df9e05fc9ce243eca6f36a6dbb7f572f,2022-04-09_14-11-46,1649527906,58.22114754,9656,DESKTOP-IMPI4GQ,127.0.0.1,58.22114754,0,3000,1024,0.5,3000,100,0.01
1.737939715,0.038986683,FALSE,,,3000,1aca8_00130,b20a12c1d2734716844bdae1e2253e34,2022-04-09_13-50-50,1649526650,117.4921064,14444,DESKTOP-IMPI4GQ,127.0.0.1,117.4921064,0,3000,1024,0.5,3000,80,0.005
1.738392234,0.025992155,FALSE,,,3000,1aca8_00082,9694260cb0c443109ac07405b19d6ca4,2022-04-09_13-33-45,1649525625,107.7281213,4572,DESKTOP-IMPI4GQ,127.0.0.1,107.7281213,0,3000,1024,0.5,3000,80,0.002
1.739296794,0.023991585,FALSE,,,3000,1aca8_00176,643b918d47134139899fd2efc7b22c52,2022-04-09_14-06-03,1649527563,101.0442848,9092,DESKTOP-IMPI4GQ,127.0.0.1,101.0442848,0,3000,1024,0.4,3000,80,0.01
1.740329623,0.024992466,FALSE,,,2000,1aca8_00074,55ff895b2fb4455d8445f1a1d3cebe71,2022-04-09_13-30-10,1649525410,65.26486969,7836,DESKTOP-IMPI4GQ,127.0.0.1,65.26486969,0,2000,1024,0.4,2000,80,0.002
